feature_id,plane,sheet,l1_feature,l2_feature,l2_description,intended_user_outcome,semantic_owner,product_subsystem,runtime_implementer,execution_mechanism,implementation_decision,existing_ai4rnd_implementation,existing_jiuwen_implementation,reusable_evidence,missing_work,persistence_authority,data_graph,verification_authority,acceptance_evidence_or_test,product_surface,delivery_phase,confidence,evidence_class,implementation_slices,assumptions_open_questions
FN-31,Foundation,Foundation Features,Data foundations,3. Dataset Graph Management,"Register datasets, schemas, fields, versions, sources, quality states, dependencies, and relationships to business concepts.",A dataset resolves to the experiments that used it,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent,No dataset graph,grep dataset_graph returns 0 files,Dataset graph,AI4RnD typed graph projections over one authoritative store,Dataset graph,Schema + provenance conformance evaluator,A dataset resolves to the experiments that used it,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-32,Foundation,Foundation Features,Data foundations,4. Code Graph Management,"Model repositories, modules, APIs, functions, tests, configurations, dependencies, and their relationships to concepts, datasets, and runtime behavior.",Code artifacts resolve to the claims they support,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent,"Code indexing exists in the coding harness, not as a graph",grep code_graph returns 0 files,Code graph,AI4RnD typed graph projections over one authoritative store,Code graph,Schema + provenance conformance evaluator,Code artifacts resolve to the claims they support,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-33,Foundation,Foundation Features,Data foundations,5. Policy Graph Management,"Represent permissions, approvals, security rules, compliance constraints, retention requirements, and policies governing data and actions.",A policy decision resolves to the rule and the approver,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent as a graph; gate ledger holds policy decisions,Permission engine holds runtime policy,grep policy_graph returns 0 files,Policy graph,AI4RnD typed graph projections over one authoritative store,Policy graph,Schema + provenance conformance evaluator,A policy decision resolves to the rule and the approver,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-34,Foundation,Foundation Features,Data foundations,6. Workflow Graph Management,"Model reusable processes, SOPs, approval chains, workflow stages, transitions, and their required inputs, outputs, policies, and capabilities.",A plan resolves to the plans it was derived from,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent,Workflow definitions exist but are not graph-indexed,grep workflow_graph returns 0 files,Workflow graph,AI4RnD typed graph projections over one authoritative store,Workflow graph,Schema + provenance conformance evaluator,A plan resolves to the plans it was derived from,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-35,Foundation,Foundation Features,Data foundations,7. Trace Graph Management,"Connect requests, plans, executions, operator decisions, tool calls, artifacts, evidence, evaluations, and state transitions into an auditable execution history.",A result resolves to the exact execution that produced it,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent as a graph; traces exist in run logs,Observability spans exist,grep trace_graph returns 0 files,Trace graph,AI4RnD typed graph projections over one authoritative store,Trace graph,Schema + provenance conformance evaluator,A result resolves to the exact execution that produced it,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-36,Foundation,Foundation Features,Data foundations,8. Memory Graph Management,"Represent relationships among remembered facts, decisions, experiences, failures, lessons, entities, workflows, and their originating evidence.",Memory entries carry provenance and can be revoked,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,BUILD,Absent,"GraphMemory exists in openjiuwen, unwired",grep memory_graph returns 0 files in AI4RnD; 0 GraphMemory references in JiuwenSwarm,Memory graph,AI4RnD typed graph projections over one authoritative store,Memory graph,Schema + provenance conformance evaluator,Memory entries carry provenance and can be revoked,Project view - knowledge browser,P5,HIGH,EXEC,,
FN-37,Foundation,Foundation Features,Data foundations,9. TaskGraph Persistence & Lifecycle Management,"Store and version executable TaskGraph specifications and their runtime state, including nodes, dependencies, scopes, gates, checkpoints, results, and closure records.",A TaskGraph survives a session change without losing completed work,AI4RnD Core,Data foundations,AI4RnD Core,Jiuwen retrieval / store where projections are served,ADAPT,task_graph_io.py and task_graph_state_io.py persist TaskGraphs,Checkpointer persists session and graph state; SwarmFlow journal persists call results,"AI4Research lib/task_graph_io.py, lib/task_graph_state_io.py; openjiuwen checkpointer",TaskGraph lifecycle that spans sessions - the SwarmFlow journal is keyed by session id,AI4RnD typed graph projections over one authoritative store,Workflow graph,Schema + provenance conformance evaluator,A TaskGraph survives a session change without losing completed work,Project view - knowledge browser,P5,HIGH,SRC,,Journal path is {team}/sessions/{session_id}/workflows/{name}; a new session gets a new journal and replays nothing
FN-38,Foundation,Foundation Features,Harness Core,1. Runtime Control Loop & Run Lifecycle Management,Initialize run/sprint identity and configuration; drive the main control loop; maintain durable run/node state and status projections; close the run only when required nodes and gates are satisfied.,A project run survives an agent-server restart,AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,REUSE,coordinator.sh polling state machine,"NativeHarness run lifecycle: start, pause, abort, subscribe, outputs",openjiuwen agent_teams/harness/; SwarmFlow background task controller,Project-level run lifecycle above the session,Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,A project run survives an agent-server restart,Project view - run status (read-only),P2,HIGH,EXEC,,
FN-39,Foundation,Foundation Features,Harness Core,2. Message Bus & Durable Task Queue,"Transport commands, events, and ready-node work with persistent queueing, priority, ordering, deduplication/idempotency, and backpressure.",Messages are not lost across a restart,AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,REUSE,File-based message passing between panes,"Messager, topics and durable background task controller",openjiuwen agent_teams/messager/,Nothing at this layer,Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,Messages are not lost across a restart,Project view - run status (read-only),P2,HIGH,SRC,,
FN-40,Foundation,Foundation Features,Harness Core,"3. DAG Scheduler, TaskGraph Readiness & Operator Binding","Validate the DAG, determine readiness from dependencies, gates and external waits, and form safe parallel batches using scope, effect, resource, and capacity constraints.",A plan compiles to a runnable graph and unbound nodes stall rather than defaulting,AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,ADAPT,"graph_scheduler.py (4,189 LOC) performs readiness, ordering and binding",Pregel supersteps compute ready nodes; Core Workflow validates connections; conditional routers accept a runtime-computed target list,probe_r4: add_conditional_connection accepted a router returning a computed list and the run completed,Capability binding at node level - the part Pregel does not do,Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,A plan compiles to a runnable graph and unbound nodes stall rather than defaulting,Project view - run status (read-only),P2,HIGH,EXEC,"Readiness, ordering, batching - OpenJiuwen Runtime, REUSE | Capability binding per node - AI4RnD Core, BUILD | Plan to graph compilation - AI4RnD-Jiuwen Integration, BUILD","Router is invoked with no arguments, so fan-out width must be computed from a closure or channel read, not from a router parameter"
FN-41,Foundation,Foundation Features,Harness Core,"4. Execution Admission, Lease & Concurrency Control","Enforce approval, policy and availability checks; acquire/release/reap leases; prevent duplicate dispatch; and enforce concurrency, quota, exclusion, and capacity limits.","Exceeding the concurrency limit refuses with a stated limit, not a queue stall",AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,REUSE,Concurrency policy JSON,ConcurrencyGovernor admits workflows and caps agents per run; admission refusal is explicit,probe_r1: invoke returned 'Swarmflow concurrency governor is not configured' - admission is a hard precondition,Nothing at this layer,Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,"Exceeding the concurrency limit refuses with a stated limit, not a queue stall",Project view - run status (read-only),P2,HIGH,EXEC,,
FN-42,Foundation,Foundation Features,Harness Core,5. Main Loop Dispatch & Runtime Supervision,"Consume an already-resolved operator binding, create the execution envelope/instruction, dispatch it to the runtime or host, monitor heartbeat/progress, and collect normalized results, handoffs, artifacts, and evidence references.",Supervision restarts a failed node without restarting the run,AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,REUSE,Main loop in coordinator.sh,Pregel superstep dispatch and the harness main loop,openjiuwen core/graph/pregel/,Nothing at this layer,Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,Supervision restarts a failed node without restarting the run,Project view - run status (read-only),P2,HIGH,SRC,,
FN-43,Foundation,Foundation Features,Harness Core,6. Failure Recovery & Resumability,"Detect failed or stale execution, retry/requeue/compensate or terminate safely, recover expired leases, replay durable state, and resume without rerunning already-passed work.","A resumed run re-executes only unfinished work, and a failed step blocks its gate rather than yielding None",AI4RnD Core,Harness Core,OpenJiuwen Runtime,Pregel / Core Workflow / SwarmFlow journal / ConcurrencyGovernor,ADAPT,Retry and resume in graph_scheduler,"Journal replay works: an interrupted run resumed with only the failed step re-executed, and a third run replayed with zero live calls",probe_r2 run2 executed only step-B; run3 executed nothing,"Reachable resume - the leader-facing swarmflow tool advertises resume_id and then rejects it, and a failed step returns None instead of failing the run",Jiuwen checkpointer + SwarmFlow journal,,Runtime invariants + AI4RnD run-state assertions,"A resumed run re-executes only unfinished work, and a failed step blocks its gate rather than yielding None",Project view - run status (read-only),P2,HIGH,EXEC,"Journal replay - OpenJiuwen Runtime, REUSE | Resume trigger reachable from the control plane - AI4RnD-Jiuwen Integration, BUILD | Failed-step detection and gate blocking - AI4RnD Core, BUILD","Two verified defects: resume_id is schema-advertised but unimplemented, and agent failure degrades to None after retries"
FN-44,Foundation,Foundation Features,Intention compilers,1. Intent Classification & Compilation Variant Selection,"Classify the request as implementation, full specification or research, and select the corresponding lane, output variant, priority and acceptance profile.",The chosen compilation variant is recorded and inspectable,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded),ADAPT,Intent classification in the harness intent engine,WorkflowController.intent_detection routes between execution strategies,AI4Research lib/intent_engine_adapter.py; openjiuwen workflow_controller.py,Compilation variant selection distinct from routing,AI4RnD Contract record,,Contract completeness + acceptance compilation checks,The chosen compilation variant is recorded and inspectable,Project view - Contract panel,P1,MEDIUM,SRC,,
FN-45,Foundation,Foundation Features,Intention compilers,"2. Goal, Scope and Context normalization","Extract goals, parameters, priorities, success conditions, scope and non-goals, while collecting only the relevant repository, file, attachment and historical context.",Two phrasings of one goal normalise identically,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded),ADAPT,Goal and scope handling in the requirement compiler,Session context provides scope,AI4Research lib/research/deepdive_requirement_compiler.py,Normalisation to a canonical Contract shape,AI4RnD Contract record,,Contract completeness + acceptance compilation checks,Two phrasings of one goal normalise identically,Project view - Contract panel,P1,MEDIUM,SRC,,
FN-46,Foundation,Foundation Features,Intention compilers,3. Ambiguity Resolution & Readiness,"Detect missing, conflicting or unclear requirements; generate the minimum necessary clarification questions; determine whether the intent is ready for planning.",A Contract reports ready or not-ready with reasons,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded),ADAPT,Ambiguity handling present,Interrupt mechanism available,openjiuwen workflow_config handle_type='interrupt',Readiness as a checkable state,AI4RnD Contract record,,Contract completeness + acceptance compilation checks,A Contract reports ready or not-ready with reasons,Project view - Contract panel,P1,MEDIUM,SRC,,
FN-47,Foundation,Foundation Features,Intention compilers,4. Constraint Compilation,"Convert budget, time, permission, data, security, quality and side-effect requirements into enforceable constraints, including what approvals will be required.",Every constraint compiles to a check or is rejected,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded),BUILD,Constraints captured informally,None at the research layer,-,Constraint compilation into executable checks,AI4RnD Contract record,,Contract completeness + acceptance compilation checks,Every constraint compiles to a check or is rejected,Project view - Contract panel,P1,MEDIUM,INF,,
FN-48,Foundation,Foundation Features,Intention compilers,5. Task Contract & Acceptance Compilation,"Produce a stable, versioned task contract containing normalized inputs and outputs, objectives, constraints, acceptance criteria and required evidence.",Acceptance criteria are machine-checkable before work starts,AI4RnD Core,Intention Compiler,AI4RnD Core,DeepAgent (bounded),ADAPT,Capsule contracts show the shape; project Contract absent,None,42/42 manifests carry contract.inputs/outputs/pre/post/invariants,Project-level Task Contract with acceptance compilation,AI4RnD Contract record,,Contract completeness + acceptance compilation checks,Acceptance criteria are machine-checkable before work starts,Project view - Contract panel,P1,HIGH,EXEC,,
FN-49,Foundation,Foundation Features,Planner,1. Task Contract Decomposition,"Interpret the validated task contract, select an appropriate planning pattern, and split the goal into bounded work units with explicit objectives, inputs, outputs and completion conditions. Also generate the planning plan text artifact for RSI.",Every task traces to a Contract clause,AI4RnD Core,Planner,AI4RnD Core,"n/a - planning emits a logical plan, execution is separate",ADAPT,Decomposition inside graph_scheduler and survey planner,None at the research layer,AI4Research lib/research/survey/planner.py,Decomposition driven by the Contract,AI4RnD TaskGraph store,,TaskGraph validation + feasibility analysis,Every task traces to a Contract clause,Project view - plan inspector,P2,MEDIUM,SRC,,
FN-50,Foundation,Foundation Features,Planner,2. TaskGraph Construction,"Compile the work units into a logical Plan IR/TaskGraph, defining dependencies, parent-child relationships, ordering, parallelizable branches and critical paths.",A plan is inspectable before any execution begins,AI4RnD Core,Planner,AI4RnD Core,"n/a - planning emits a logical plan, execution is separate",ADAPT,"TaskGraph construction in graph_scheduler (4,189 LOC)",Core Workflow and Pregel construct executable graphs,AI4Research lib/graph_scheduler.py; openjiuwen core/graph/,Separation of the logical plan from the runtime graph,AI4RnD TaskGraph store,Workflow graph,TaskGraph validation + feasibility analysis,A plan is inspectable before any execution begins,Project view - plan inspector,P2,HIGH,SRC,,
FN-51,Foundation,Foundation Features,Planner,3. TaskGraph Validation & Feasibility Analysis,"Validate schema completeness, missing dependencies, cycles, requirement coverage, scope conflicts, capability feasibility, risk, policy compliance and useful parallelism. Invalid or infeasible plans must be blocked or returned for clarification/replanning.",A plan requiring an unavailable capability fails validation,AI4RnD Core,Planner,AI4RnD Core,"n/a - planning emits a logical plan, execution is separate",ADAPT,"Validation in graph_scheduler (cycles, missing deps, duplicates)",Pregel validates node ids and forward reachability; Core Workflow validates connections,probe_r4 built and ran a conditional fan-out graph; openjiuwen graph validation,Feasibility analysis against available capabilities,AI4RnD TaskGraph store,,TaskGraph validation + feasibility analysis,A plan requiring an unavailable capability fails validation,Project view - plan inspector,P2,HIGH,EXEC,,
FN-52,Foundation,Foundation Features,Builder,1. Build Contract Interpretation,"Translate the task or build contract into implementation goals, interfaces, write scope, acceptance conditions, and prohibited changes.",A build states its acceptance before it starts,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,Build contracts implicit,None,-,Build Contract interpretation,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,A build states its acceptance before it starts,Project view - build panel,P4,MEDIUM,INF,,
FN-53,Foundation,Foundation Features,Builder,2. Build Preparation,"Prepare source material, dependencies, templates, data, workspace, toolchain, and pre-build readiness checks.",Build environments match the declared effects,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,REUSE,Environment scripts,Worktree manager + jiuwenbox,openjiuwen agent_teams/worktree.py,Preparation driven by declared effects,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,Build environments match the declared effects,Project view - build panel,P4,HIGH,SRC,,
FN-54,Foundation,Foundation Features,Builder,3. Code Construction,"Create or modify deterministic source code, scripts, tests, and configuration to implement the required technical function.",Concurrent builds never share a worktree,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,REUSE,Code agents,Code mode with worktree isolation,agent(options={'isolation':'worktree'}) accepted by the engine option whitelist,Construction bound to a Build Contract,Jiuwen worktree + AI4RnD artifact store,Code graph,AI4RnD engineering + conformance evaluators,Concurrent builds never share a worktree,Project view - build panel,P4,HIGH,SRC,,
FN-55,Foundation,Foundation Features,Builder,4. Model Construction,"Build, train, fine-tune, or assemble reproducible algorithmic, statistical, or machine-learning models.",Deferred with RSI-7,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,DEFER,No model construction,agent_rl exists but is unreachable from the app,"openjiuwen agent_evolving/agent_rl present, no application import",Model construction pipeline,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,Deferred with RSI-7,Project view - build panel,P6,LOW,INF,,
FN-56,Foundation,Foundation Features,Builder,5. Experimental Asset Construction,"Build experiment code, data processing, instrumentation, environment descriptions, and run scripts.",Experiment assets are reproducible from their record,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,Experiment assets built ad hoc,None,-,Experimental asset construction as a declared step,Jiuwen worktree + AI4RnD artifact store,Dataset graph,AI4RnD engineering + conformance evaluators,Experiment assets are reproducible from their record,Project view - build panel,P4,MEDIUM,INF,,
FN-57,Foundation,Foundation Features,Builder,6. Benchmark Asset Construction,"Build benchmark datasets, harnesses, workloads, baselines, metric implementations, and comparison scripts.",Benchmark assets version with the benchmark protocol,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,PORT,Benchmark asset tooling present but unwired,None,AI4Research lib/capability_fusion_benchmark.py,Wire to the benchmark lane,Jiuwen worktree + AI4RnD artifact store,Dataset graph,AI4RnD engineering + conformance evaluators,Benchmark assets version with the benchmark protocol,Project view - build panel,P4,MEDIUM,SRC,,
FN-58,Foundation,Foundation Features,Builder,7. Verification Asset Construction,"Build unit, integration, and end-to-end tests, validators, fixtures, checklists, and verification scripts.",Every claim has a verification asset,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,Verification assets implicit,None,-,Verification asset construction,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,Every claim has a verification asset,Project view - build panel,P4,MEDIUM,INF,,
FN-59,Foundation,Foundation Features,Builder,8. Decision Artifact Construction,"Create opportunity cards, decision records, trade-off matrices, and recommendation packets for decision-making.",A decision artifact states the evidence and the alternative rejected,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,Decision artifacts produced as prose,None,-,Decision artifact schema,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,A decision artifact states the evidence and the alternative rejected,Project view - build panel,P4,MEDIUM,INF,,
FN-60,Foundation,Foundation Features,Builder,9. Prototype Assembly,"Combine code, models, data, and interfaces into a bounded, runnable, and demonstrable proof of concept.",An assembled prototype passes readiness validation,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,Prototype assembly ad hoc,Worktree + code mode,openjiuwen worktree manager,Assembly as a declared step with acceptance,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,An assembled prototype passes readiness validation,Project view - build panel,P4,MEDIUM,INF,,
FN-61,Foundation,Foundation Features,Builder,10. Product Integration,"Integrate verified components into target product interfaces, data flows, and production-oriented operational boundaries.",Integration into a target product is recorded and reversible,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,No product integration stage,None,-,Product integration,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,Integration into a target product is recorded and reversible,Project view - build panel,P4,LOW,INF,,
FN-62,Foundation,Foundation Features,Builder,11. Defect Repair,"Use failure evidence to identify and repair code, configuration, contract, or integration defects and prevent regression.",A repair references the defect it closes,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,REUSE,Defect repair via coding agents,Code mode with tests,openjiuwen code mode + worktree,Repair bound to a recorded defect,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,A repair references the defect it closes,Project view - build panel,P4,MEDIUM,SRC,,
FN-63,Foundation,Foundation Features,Builder,12. Build Evidence Generation,"Generate diffs, manifests, hashes, compile and test results, provenance, and acceptance evidence for the build.",Every build produces evidence sufficient to re-run it,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,PORT,Build evidence generation in the evidence ledger,Observability spans,AI4Research lib/evidence_ledger.py executed standalone,Build evidence linked to the Build Contract,Jiuwen worktree + AI4RnD artifact store,Trace graph,AI4RnD engineering + conformance evaluators,Every build produces evidence sufficient to re-run it,Project view - build panel,P4,HIGH,EXEC,,
FN-64,Foundation,Foundation Features,Builder,13. Report/Paper/Deliverable Construction,"Create and assemble human-facing reports, papers, slides, posters, rebuttals, and narrative delivery packages.",A report cites only ledger evidence,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,PORT,Report and publication capsules exist,None,"AI4Research cap.research-report-draft.yaml, cap.research-publication-produce.yaml",Deliverable construction bound to the evidence ledger,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,A report cites only ledger evidence,Project view - build panel,P4,MEDIUM,SRC,,
FN-65,Foundation,Foundation Features,Builder,14. Runtime Deliverable Construction,"Build executable or deployable services, packages, containers, workflow bundles, and deployment configuration.",A runtime deliverable installs and runs from its package,AI4RnD Core,Builder,OpenJiuwen Runtime,Code mode / worktree + DeepAgent + deterministic tools,BUILD,No runtime deliverable construction,Skill packaging exists,jw-src/jiuwenswarm/server/runtime/skill/skill_manager.py,Runtime deliverable packaging,Jiuwen worktree + AI4RnD artifact store,,AI4RnD engineering + conformance evaluators,A runtime deliverable installs and runs from its package,Project view - build panel,P4,LOW,INF,,
VT-01,Vertical,Vertical Features,Visibility / Statistics,1. Workflow & Platform Status Visibility,"Show workflow progress, blockers, gates, budgets, and the health of hosts, providers, queues, data sources, and other platform components without changing authoritative runtime state.",A user sees which gate a project is blocked on,AI4RnD Core,Visibility,JiuwenSwarm Application,Jiuwen observability / telemetry,EXTEND,Status server and dashboards,Web UI shows session and task status,jw-src/jiuwenswarm/gateway/channel_manager/web/,"Research-specific progress: gates, budgets, blockers",JiuwenSwarm telemetry store,,JiuwenSwarm platform tests,A user sees which gate a project is blocked on,Web UI - status and statistics,P2,MEDIUM,SRC,"Platform status - JiuwenSwarm Application, REUSE | Gate, budget and blocker view - AI4RnD Core, BUILD",
VT-02,Vertical,Vertical Features,Visibility / Statistics,2. Execution Trace Search & Inspection,"Search and inspect time-ordered requests, transitions, tool calls, approvals, failures, artifacts, decisions, and outcomes using filters for project, run, actor, and time range.",A user can find the run that produced a given claim,JiuwenSwarm Application,Visibility,JiuwenSwarm Application,Jiuwen observability / telemetry,EXTEND,Trace inspection in the harness,Observability rail emits spans; web UI shows tool calls,openjiuwen observability rail,Search across time-ordered transitions bound to claims,JiuwenSwarm telemetry store,Trace graph,JiuwenSwarm platform tests,A user can find the run that produced a given claim,Web UI - status and statistics,P2,MEDIUM,SRC,,
VT-03,Vertical,Vertical Features,Visibility / Statistics,3. Runtime status visibility,"Statistics like cpu usage, gpu usage, etc.",CPU and GPU utilisation are visible per run,JiuwenSwarm Application,Visibility,JiuwenSwarm Application,Jiuwen observability / telemetry,BUILD,Runtime stats in the status server,No CPU/GPU statistics surface,-,Host resource statistics,JiuwenSwarm telemetry store,,JiuwenSwarm platform tests,CPU and GPU utilisation are visible per run,Web UI - status and statistics,P2,MEDIUM,INF,,
VT-04,Vertical,Vertical Features,Visibility / Statistics,"4. Resource Usage, Cost & Capacity Management","Report model, compute, token, tool, storage, data, quota, human-review, budget, cost, and capacity consumption by project, experiment, capability, and time.",A project halts when its budget is exhausted,JiuwenSwarm Application,Visibility,JiuwenSwarm Application,Jiuwen observability / telemetry,EXTEND,Cost tracking in harness tooling,Token budget accounting in the workflow engine,openjiuwen workflow engine budget_total,Cost and capacity against a project budget,JiuwenSwarm telemetry store,,JiuwenSwarm platform tests,A project halts when its budget is exhausted,Web UI - status and statistics,P2,MEDIUM,SRC,,
VT-05,Vertical,Vertical Features,Installer & CLI & Webapp,1. Windows App,"Package, install, launch, update, repair, and uninstall the Windows desktop application and its supported runtime dependencies; guide first-run setup and authentication, preserve user data, and produce installation and health-check evidence.",A clean Windows install launches into research mode,JiuwenSwarm Application,Distribution,JiuwenSwarm Application,n/a - packaging and distribution,REUSE,Windows support not claimed,Packaging and installer exist,"jw-src/deploy/, install scripts",Research mode included in the package,Installed workspace on disk,,JiuwenSwarm packaging tests,A clean Windows install launches into research mode,Installer / CLI / web app,P1,MEDIUM,DOC,,
VT-06,Vertical,Vertical Features,Installer & CLI & Webapp,2. MacOS App,"Package, install, launch, update, repair, and uninstall the macOS desktop application; guide first-run permissions, runtime and provider setup, preserve user data, and verify application and backend readiness.",A clean macOS install launches into research mode,JiuwenSwarm Application,Distribution,JiuwenSwarm Application,n/a - packaging and distribution,REUSE,"macOS install scripts present (install.sh, get-solar.sh)",Packaging exists,AI4Research install.sh; jw-src/deploy/,Single installer for the combined product,Installed workspace on disk,,JiuwenSwarm packaging tests,A clean macOS install launches into research mode,Installer / CLI / web app,P1,MEDIUM,DOC,,
VT-07,Vertical,Vertical Features,Installer & CLI & Webapp,3. MacOS CLI,"Install and operate the Solar CLI on macOS, including dependency checks, PATH and configuration initialization, provider-authentication readiness, status and doctor checks, backup and restore, update and repair, and uninstall.",A project can be started and inspected from the CLI,JiuwenSwarm Application,Distribution,JiuwenSwarm Application,n/a - packaging and distribution,REUSE,CLI present (bin/),jiuwenswarm CLI exists,jw-src/jiuwenswarm/ CLI entry points,Research commands in the CLI,Installed workspace on disk,,JiuwenSwarm packaging tests,A project can be started and inspected from the CLI,Installer / CLI / web app,P1,MEDIUM,DOC,,
VT-08,Vertical,Vertical Features,Installer & CLI & Webapp,4. Linux Cli,"Install and operate the Solar CLI on supported Linux distributions, including dependency and package-manager checks, runtime and configuration initialization, service startup, status and doctor checks, backup and restore, update and repair, and uninstall.",Same as VT-07 on Linux,JiuwenSwarm Application,Distribution,JiuwenSwarm Application,n/a - packaging and distribution,REUSE,Linux CLI present,jiuwenswarm CLI exists,jw-src CLI entry points,Research commands in the CLI,Installed workspace on disk,,JiuwenSwarm packaging tests,Same as VT-07 on Linux,Installer / CLI / web app,P1,MEDIUM,DOC,,
VT-09,Vertical,Vertical Features,Installer & CLI & Webapp,5. Web Application & Status Service,"Build, serve, configure, and health-check the browser-based application and status API; connect it to authentication, configuration, workflow state, runtime visibility, and artifact views across development and packaged deployments.",The project view is reachable from the web app,JiuwenSwarm Application,Distribution,JiuwenSwarm Application,n/a - packaging and distribution,REUSE,Status server present,Web application and gateway are the product's primary surface,jw-src/jiuwenswarm/gateway/channel_manager/web/,Project routes,Installed workspace on disk,,JiuwenSwarm packaging tests,The project view is reachable from the web app,Installer / CLI / web app,P1,HIGH,SRC,,
VT-10,Vertical,Vertical Features,UI,1. CLI,"Provide a scriptable command-response interface for submitting work, inspecting status, managing lifecycle and configuration, and retrieving logs, artifacts, and evidence, with stable exit codes and human-readable or structured JSON output.",Covered by VT-07,JiuwenSwarm Application,UI shell,JiuwenSwarm Application,n/a - presentation,REUSE,CLI present,CLI present,jw-src CLI,Nothing beyond VT-07,JiuwenSwarm UI state,,JiuwenSwarm UI tests,Covered by VT-07,CLI / GUI / TUI,P1,MEDIUM,DOC,,
